spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
1858,"Clerical assistant to Sergey Sergeevich Prokofiev, 03 January 1922","Box: 1; Folder: 1922, January","Binder III, page 4",03 January 1922,exact,Clerical assistant,"Sociedad Musical Daniel, S.A.",Los Madrazo 14,Madrid,,"Los Madrazo 14, Madrid",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,letter,typed,French,,11.09309,47.5688
1868,"David Nakhatovitsch to Sergey Sergeevich Prokofiev, 14 January 1922","Box: 1; Folder: 1922, January","Binder III, page 21",14 January 1922,exact,David Nakhatovitsch,not_stated,2714 Hirsch Blvd.,Chicago,,"2714 Hirsch Blvd., Chicago",Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,original,letter,typed,French,Signature: 'Nakhatovitsch' or 'Kakhatovitsch'.,-87.63245,41.88425
1888,"Fitzhugh Haensel to Sergey Sergeevich Prokofiev, 09 March 1922","Box: 1; Folder: 1922, March","Binder III, page 63",09 March 1922,exact,Fitzhugh Haensel,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,"c/o American Express, [rue Scribe]",Paris,France,"c/o American Express, Paris",original,letter,typed,English,,2.330535686,48.87153006
1889,"Boris Stepanovich Zakharov to Sergey Sergeevich Prokofiev, [11 March 1922]","Box: 1; Folder: 1922, March","Binder III, page 62",11 March 1922,implied,Boris Stepanovich Zakharov,not_stated,not_stated,Munich,,Munich,Sergey Sergeevich Prokofiev,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",original,postcard,handwritten,Russian,,2.329730743,48.88191991
1892,"Deborah Beirne to Sergey Sergeevich Prokofiev, 21 March 1922","Box: 1; Folder: 1922, March","Binder III, page 68",21 March 1922,exact,Deborah Beirne,not_stated,144 West 34th Street,New York,,"144 West 34th Street, New York",Sergey Sergeevich Prokofiev,not_stated,"c/o American Express, [rue Scribe]",Paris,France,"c/o American Express, Paris",original,letter,typed,English,"The contract and a copy of the contract for ""The Love of Three Oranges"" are attached to this letter. Address on second page of letter: Tingley Studios. 2 West 29th Street",2.330535686,48.87153006
1898,"Hanna Ripert to Sergey Sergeevich Prokofiev, 29 March 1922","Box: 1; Folder: 1922, March","Binder III, page 80",29 March 1922,exact,Hanna Ripert,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,c/o Guaranty Trust,Paris,France,"c/o Guaranty Trust, Paris",original,letter,handwritten,German,,2.34144,48.85721
1913,"Lina Prokofiev to Sergey Sergeevich Prokofiev, 10 April 1922","Box: 1; Folder: 1922, April","Binder III, page 98",10 April 1922,exact,Lina Prokofiev,not_stated,not_stated,Milan,,Milan,Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,11.09309,47.5688
1926,"not_stated to Sergey Sergeevich Prokofiev, 03 May 1922",not_stated,"Binder III, page 117",03 May 1922,exact,not_stated,not_stated,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,photocopy,letter,typed,German,,11.09309,47.5688
1927,"Clerical assistant to Sergey Sergeevich Prokofiev, 05 May 1922","Box: 1; Folder: 1922, May","Binder III, page 122",05 May 1922,exact,Clerical assistant,Breitkopf & Hartel,Nürnbergerstrasse 36,Leipzig,,"Nürnbergerstrasse 36, Leipzig",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,German,,11.09309,47.5688
1931,"Lina Prokofiev to Sergey Sergeevich Prokofiev, 13 May 1922","Box: 1; Folder: 1922, May","Binder III, page 126",13 May 1922,exact,Lina Prokofiev,not_stated,not_stated,Florence,,Florence,Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,11.09309,47.5688
