spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,FID,Country,x,y
2064,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 10 October 1922","Box: 1; Folder: 1922, October","Binder III, page 325",10 October 1922,exact,Ernest Alexandrovich Oeberg,not_stated,3 Rue de Moscou,Paris,,"3 Rue de Moscou, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,47,,2.32636588035534,48.8798689142025
2065,"Boris Stepanovich Zakharov to Sergey Sergeevich Prokofiev, 12 October 1922","Box: 1; Folder: 1922, October","Binder III, page 326",12 October 1922,exact,Boris Stepanovich Zakharov,not_stated,not_stated,Berlin,,Berlin,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,Russian,,48,,13.3769100001127,52.5160400001679
2066,"Alexei Fedorovich Staal to Sergey Sergeevich Prokofiev, 12 October 1922","Box: 1; Folder: 1922, October","Binder III, page 328",12 October 1922,exact,Alexei Fedorovich Staal,not_stated,6 Rue Blaise Desgoffe,Paris,,"6 Rue Blaise Desgoffe, Paris",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,letter,handwritten,Russian,,49,,2.32439940621461,48.8458259999422
2067,"José Raoul Capablanca to Sergey Sergeevich Prokofiev, 14 October 1922","Box: 1; Folder: 1922, October","Binder III, page 330",14 October 1922,exact,José Raoul Capablanca,not_stated,Queen Anne's Mansions,London,,"Queen Anne's Mansions, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,50,,-0.191848499735411,51.4889100000367
2069,"Boris Stepanovich Zakharov to Sergey Sergeevich Prokofiev, 03 November 1922","Box: 1; Folder: 1922, November","Binder III, page 333",03 November 1922,exact,Boris Stepanovich Zakharov,not_stated,not_stated,Frankfurt,,Frankfurt,Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,51,,8.68340999955785,50.1120800002715
2074,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 13 November 1922","Box: 1; Folder: 1922, November","Binder III, page 346",13 November 1922,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Berlin,,Berlin,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,52,,13.3769100001127,52.5160400001679
2078,"Henry Wood to Sergey Sergeevich Prokofiev, 19 November 1922","Box: 1; Folder: 1922, November","Binder III, page 364",19 November 1922,exact,Henry Wood,not_stated,4 Elsworthy Road,London,,"4 Elsworthy Road, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,53,,-0.162405733004789,51.5421767158531
2079,"Leona Spitzer to Sergey Sergeevich Prokofiev, 21 November 1922","Box: 1; Folder: 1922, November","Binder III, page 366",21 November 1922,exact,Leona Spitzer,not_stated,1400 Magnolia Avenue,Los Angeles,,"1400 Magnolia Avenue, Los Angeles",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,English,,54,,-118.286348796303,34.0462079996714
2080,"Nikolai Titovich Kucheriavy to Sergey Sergeevich Prokofiev, 21 November 1922","Box: 1; Folder: 1922, November","Binder III, page 368",21 November 1922,exact,Nikolai Titovich Kucheriavy,not_stated,not_stated,Warsaw,,Warsaw,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,55,,21.0102699997378,52.2355800000339
2082,"Lina Prokofiev to Sergey Sergeevich Prokofiev, [22 November 1922]","Box: 1; Folder: 1922, November","Binder III, page 370",22 November 1922,implied,Lina Prokofiev,not_stated,not_stated,Milan,,Milan,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,Russian,,56,,9.18178000021683,45.4679599999981
2323,"Clerical assistant to Sergey Sergeevich Prokofiev, 25 July 1923","Box: 1; Folder: 1923, July","Binder IV, page 260",25 July 1923,exact,Clerical assistant,not_stated,Salzburgerstrasse 10,Berlin,,"Salzburgerstrasse 10, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,telegram,handwritten,German,,57,,13.3415487442181,52.4876564279749
2324,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 25 July 1923","Box: 1; Folder: 1923, July",not_applicable,25 July 1923,exact,Ernest Alexandrovich Oeberg,not_stated,Dessauer Str. 17,Berlin,,"Dessauer Str. 17, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,58,,13.5505293614867,52.5672043793325
2334,"John H. Tillet to Sergey Sergeevich Prokofiev, 03 August 1923","Box: 1; Folder: 1923, August","Binder IV, page 269",03 August 1923,exact,John H. Tillet,not_stated,19 Hanover Square,London,,"19 Hanover Square, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,English,,59,,-0.144297259945522,51.5138061702429
2336,"Jacques Hébertot to Sergey Sergeevich Prokofiev, 04 August 1923","Box: 1; Folder: 1923, August","Binder IV, page 271",04 August 1923,exact,Jacques Hébertot,not_stated,13 - 15 Avenue Montaigne,Paris,,"13 - 15 Avenue Montaigne, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,French,,60,,2.30331268471353,48.865637943695
2338,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 04 August 1923","Box: 1; Folder: 1923, August","Binder IV, page 273",04 August 1923,exact,Ephraim Gottlieb,not_stated,"39 South La Salle Street, Suite 418-24",Chicago,,"39 South La Salle Street, Suite 418-24, Chicago",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,English,,61,,-87.6323466033089,41.8808608636857
2342,"Olga Shtegman to Sergey Sergeevich Prokofiev, [07 August 1923]","Box: 1; Folder: 1923, August","Binder IV, page 282",07 August 1923,implied,Olga Shtegman,not_stated,not_stated,Wiesbaden,,Wiesbaden,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,Russian,,62,,8.24213999957893,50.0846599998217
2345,"John H. Tillet to Sergey Sergeevich Prokofiev, 13 August 1923","Box: 1; Folder: 1923, August","Binder IV, page 278",13 August 1923,exact,John H. Tillet,not_stated,19 Hanover Square,London,,"19 Hanover Square, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,English,,63,,-0.144297259945522,51.5138061702429
2348,"Clerical assistant to Sergey Sergeevich Prokofiev, 16 August 1923","Box: 1; Folder: 1923, August","Binder IV, page 280",16 August 1923,exact,Clerical assistant,Breitkopf & Hartel,Nürnbergerstrasse 36,Leipzig,,"Nürnbergerstrasse 36, Leipzig",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,French,,64,,12.3827352602595,51.3339323190797
2350,"Organow to Sergey Sergeevich Prokofiev, 20 August 1923","Box: 1; Folder: 1923, August","Binder IV, page 279",20 August 1923,exact,Organow,not_stated,not_stated,London,,London,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,telegram,handwritten,English,"Originator appears to be 'Organow', transcribed by SP as 'Organol Wasdo (?) London'.",65,,-0.12720999978608,51.506420000162
2352,"Robert Burness to Sergey Sergeevich Prokofiev, 20 August 1923","Box: 1; Folder: 1923, August","Binder IV, page 284",20 August 1923,exact,Robert Burness,not_stated,11 The Mount,St. Leonards-on-Sea,,"11 The Mount, St. Leonards-on-Sea",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,66,,0.551694453166798,50.8528928642676
