spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
5891,"Sergey Sergeevich Prokofiev to Vladimir Vladimirovich Derzhanovsky, 20 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 129",20 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Vladimir Vladimirovich Derzhanovsky,not_stated,not_stated,Moscow,,Moscow,original,letter,draft,Russian,Typed draft.,37.61501,55.75696
5892,"Sergey Sergeevich Prokofiev to Bernard R. Laberge, 21 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 130",21 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Bernard R. Laberge,not_stated,130 West 42nd Street,New York,,"130 West 42nd Street, New York",original,letter,draft,French,Typed draft.,-73.98529298,40.75531783
5893,"Sergey Sergeevich Prokofiev to Swiss Consul, 21 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 134",21 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,22 Rue d'Anjou,Paris,,"22 Rue d'Anjou, Paris",Swiss Consul,not_stated,6 Quai des Brotteaux,Lyon,,"6 Quai des Brotteaux, Lyon",original,letter,draft,French,Typed draft.,4.857017984,45.76953863
5900,"Sergey Sergeevich Prokofiev to Clerical assistant, 28 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 143",28 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,Clerical assistant,Cornpoleague,not_stated,New York,,New York,original,telegram,draft,English,,-74.00714,40.71455
5911,"Sergey Sergeevich Prokofiev to Fitzhugh Haensel, 17 December 1928","Box: 2; Folder: 1928, October","Binder XIX, page 154",17 December 1928,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,Fitzhugh Haensel,not_stated,not_stated,New York,,New York,original,telegram,draft,English,,-74.00714,40.71455
5917,"Sergey Sergeevich Prokofiev to Clerical assistant, 06 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 166",06 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Clerical assistant,Buro Gazetnykh Vyrezok,Bakuninskaia 5,Moscow,,"Bakuninskaia 5, Moscow",original,letter,draft,Russian,Typed draft.,37.67985844,55.77358314
5918,"Sergey Sergeevich Prokofiev to Natalia Koussevitzkaya, 06 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 167",06 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Natalia Koussevitzkaya,not_stated,not_stated,Boston,,Boston,original,letter,draft,Russian,Typed draft. See also XIX/ 109.,-71.05674,42.35866
5925,"Sergey Sergeevich Prokofiev to Director, 07 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 176",07 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Director,Persimfans,Gertsena Ul. 13,Moscow,,"Gertsena Ul. 13, Moscow",original,letter,draft,Russian,Typed draft.,37.57182724,55.48830478
5926,"Sergey Sergeevich Prokofiev to Ekaterina Grigorevna Raevskaya, 07 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 177",07 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Ekaterina Grigorevna Raevskaya,not_stated,not_stated,Kadnikov,,Kadnikov,original,letter,draft,Russian,Typed draft.,40.35569,59.49655
5929,"Sergey Sergeevich Prokofiev to Clerical assistant, 08 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 181",08 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Clerical assistant,Societe des Auteurs et Compositeurs Dramatiques,9 Rue Ballu,Paris,,"9 Rue Ballu, Paris",original,letter,draft,French,Typed draft.,2.330752243,48.88166791
