SPA id,item_title,container,goldsmiths,date,date_qualifier,Sender,sender_organization,sender_address,sender_city,sender_country,address,Recipient,recipient_organization,recipient_address,recipient_city,recipient_country,address,format,document_type,format,language,notes,x,y
1623,"Sergey Sergeevich Prokofiev to Mr Johnson, 11 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 54",11 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,347 Blanchard Hall,Los Angeles,,"347 Blanchard Hall, Los Angeles",Mr Johnson,not_stated,not_stated,Chicago,,Chicago,original,letter,draft,English,,-118.1759873,34.04594546
1624,"Sergey Sergeevich Prokofiev to Nina Pavlovna Koshetz, 12 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 56",12 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Los Angeles,,Los Angeles,Nina Pavlovna Koshetz,not_stated,not_stated,New York,,New York,original,letter,draft,Russian,,-118.24532,34.05349
1625,"Sergey Sergeevich Prokofiev to Mme Burgières, 13 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 57",13 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Los Angeles,,Los Angeles,Mme Burgières,not_stated,not_stated,New Orleans,,New Orleans,original,letter,draft,English,Originator: 'Mme Burgières' (?).,-118.24532,34.05349
1627,"Sergey Sergeevich Prokofiev to Jessica Colbert, 16 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 61",16 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Los Angeles,,Los Angeles,Jessica Colbert,not_stated,not_stated,San Francisco,,San Francisco,original,letter,draft,English,,-118.24532,34.05349
1628,"Sergey Sergeevich Prokofiev to Sergey Sergeevich Prokofiev, 21 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 63",21 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,original,letter,handwritten,English,Originator; 'Ada Buramieres' (?),-87.63245,41.88425
1629,"Sergey Sergeevich Prokofiev to Cyrus McCormick, 21 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 65",21 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Cyrus McCormick,not_stated,not_stated,Chicago,,Chicago,original,letter,draft,English,Typed draft.,-87.63245,41.88425
1630,"Sergey Sergeevich Prokofiev to Ephraim Gottlieb, 30 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 78",30 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,New York,,New York,Ephraim Gottlieb,not_stated,not_stated,Chicago,,Chicago,original,letter,draft,English,,-74.00714,40.71455
1632,"Sergey Sergeevich Prokofiev to Leona Spitzer, 01 February 1921","Box: 1; Folder: 1921, February","Binder XLI, page 81",01 February 1921,exact,Sergey Sergeevich Prokofiev,not_stated,5 Avenue & 9 Street,New York,,"5 Avenue & 9 Street, New York",Leona Spitzer,not_stated,not_stated,San Jose,,San Jose,original,letter,draft,English,,-73.986282,40.669182
1635,"Sergey Sergeevich Prokofiev to A. M. Volkoff, 02 February 1921","Box: 1; Folder: 1921, February","Binder XLI, page 85.",02 February 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,New York,,New York,A. M. Volkoff,not_stated,10 South LaSalle Street,Chicago,,"10 South LaSalle Street, Chicago",original,letter,handwritten,Russian,,-74.00714,40.71455
1646,"Sergey Sergeevich Prokofiev to Director, 06 March 1921","Box: 1; Folder: 1921, March","Binder XLI, page 98",06 March 1921,exact,Sergey Sergeevich Prokofiev,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",Director,not_stated,not_stated,Berlin,,Berlin,original,letter,typed,Russian,,2.329730743,48.88191991
